State,MinLong,MaxLong,MaxLat,MinLat
Alabama,-87.50,-83.13,35.00,30.25
Alaska,-172.50,-130.00,71.50,51.25
Arizona,-113.13,-109.00,37.00,31.33
Arkansas,-93.38,-88.38,36.50,33.00
California,-123.58,-113.88,42.00,32.53
Colorado,-108.88,-102.00,41.00,37.00
Connecticut,-72.25,-70.25,42.05,41.00
Delaware,-74.20,-75.00,39.85,38.45
District of Columbia,-76.88,-75.13,39.00,38.87
Florida,-86.38,-80.00,31.00,24.50
Georgia,-84.38,-79.25,35.00,30.35
Hawaii,-159.75,-153.25,22.23,18.87
Idaho,-116.75,-111.00,49.00,42.00
Illinois,-90.50,-86.50,42.50,37.00
Indiana,-87.88,-83.25,41.75,37.87
Iowa,-95.38,-89.88,43.50,40.37
Kansas,-101.50,-93.42,40.00,37.00
Kentucky,-88.42,-80.05,39.15,36.62
Louisiana,-93.95,-87.18,33.02,28.92
Maine,-70.87,-65.12,47.47,42.97
Maryland,-78.50,-75.00,39.75,37.87
Massachusetts,-72.48,-68.08,42.87,41.22
Michigan,-89.50,-81.63,48.28,41.70
Minnesota,-96.75,-88.50,49.38,43.50
Mississippi,-90.37,-87.88,35.00,30.00
Missouri,-94.22,-88.90,40.62,36.00
Montana,-115.95,-103.97,49.00,44.37
Nebraska,-103.95,-94.68,43.00,40.00
Nevada,-120.00,-113.95,42.00,35.00
New Hampshire,-71.43,-69.42,45.35,42.70
New Jersey,-74.45,-72.13,41.37,38.92
New Mexico,-108.95,-103.00,37.00,31.33
New York,-78.23,-70.13,45.02,40.50
North Carolina,-83.67,-74.58,36.60,33.85
North Dakota,-103.95,-95.45,49.00,45.93
Ohio,-83.18,-79.48,42.00,38.40
Oklahoma,-103.00,-93.57,37.00,33.62
Oregon,-123.42,-115.55,46.27,42.00
Pennsylvania,-79.48,-73.32,42.27,39.72
Puerto Rico,-66.05,-64.78,18.53,17.92
Rhode Island,-70.08,-70.88,42.02,41.13
South Carolina,-82.63,-77.48,35.22,32.00
South Dakota,-103.95,-95.57,45.93,42.48
Tennessee,-89.68,-80.37,36.68,34.97
Texas,-104.35,-92.50,36.50,25.83
Utah,-113.95,-109.00,42.00,37.00
Vermont,-72.40,-70.53,45.00,42.72
U. S. Virgin Islands,-63.20,-63.45,18.42,17.67
Virginia,-82.32,-74.75,39.47,36.53
Washington,-123.23,-115.08,49.00,45.53
West Virginia,-81.35,-76.27,40.63,37.20
Wisconsin,-91.10,-85.25,47.12,42.50
Wyoming,-110.90,-104.00,45.00,41.00
